season,week,team,manager,felo_tier,logo_url,opponent,points_for,points_against
2025,1,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Just-End-The-Season,0.0,0.0
2025,1,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Dr. Fields Good,0.0,0.0
2025,1,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Ottoman Empire,0.0,0.0
2025,1,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Shambles,0.0,0.0
2025,1,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,The Warren Brothers,0.0,0.0
2025,1,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Koo and the Gang,0.0,0.0
2025,1,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Boom Squad,0.0,0.0
2025,1,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,FDIC Crew,0.0,0.0
2025,1,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Hayes Brigade,0.0,0.0
2025,1,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,ManningHam N' Cheese,0.0,0.0
2025,1,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Flutie and the Blowfish,0.0,0.0
2025,1,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Nacua Matata,0.0,0.0
2025,2,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Shambles,0.0,0.0
2025,2,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Dr. Fields Good,0.0,0.0
2025,2,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Koo and the Gang,0.0,0.0
2025,2,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Ottoman Empire,0.0,0.0
2025,2,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Nacua Matata,0.0,0.0
2025,2,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,FDIC Crew,0.0,0.0
2025,2,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Flutie and the Blowfish,0.0,0.0
2025,2,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,The Warren Brothers,0.0,0.0
2025,2,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,ManningHam N' Cheese,0.0,0.0
2025,2,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Just-End-The-Season,0.0,0.0
2025,2,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Hayes Brigade,0.0,0.0
2025,2,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Boom Squad,0.0,0.0
2025,3,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Koo and the Gang,0.0,0.0
2025,3,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Dr. Fields Good,0.0,0.0
2025,3,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,ManningHam N' Cheese,0.0,0.0
2025,3,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Shambles,0.0,0.0
2025,3,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,The Warren Brothers,0.0,0.0
2025,3,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Ottoman Empire,0.0,0.0
2025,3,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Flutie and the Blowfish,0.0,0.0
2025,3,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,FDIC Crew,0.0,0.0
2025,3,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Boom Squad,0.0,0.0
2025,3,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Just-End-The-Season,0.0,0.0
2025,3,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Hayes Brigade,0.0,0.0
2025,3,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Nacua Matata,0.0,0.0
2025,4,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Ottoman Empire,0.0,0.0
2025,4,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Dr. Fields Good,0.0,0.0
2025,4,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Boom Squad,0.0,0.0
2025,4,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Shambles,0.0,0.0
2025,4,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,ManningHam N' Cheese,0.0,0.0
2025,4,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Koo and the Gang,0.0,0.0
2025,4,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,The Warren Brothers,0.0,0.0
2025,4,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,FDIC Crew,0.0,0.0
2025,4,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Nacua Matata,0.0,0.0
2025,4,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Just-End-The-Season,0.0,0.0
2025,4,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Hayes Brigade,0.0,0.0
2025,4,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Flutie and the Blowfish,0.0,0.0
2025,5,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,The Warren Brothers,0.0,0.0
2025,5,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Dr. Fields Good,0.0,0.0
2025,5,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Nacua Matata,0.0,0.0
2025,5,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Shambles,0.0,0.0
2025,5,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,ManningHam N' Cheese,0.0,0.0
2025,5,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Ottoman Empire,0.0,0.0
2025,5,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Boom Squad,0.0,0.0
2025,5,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Koo and the Gang,0.0,0.0
2025,5,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Hayes Brigade,0.0,0.0
2025,5,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,FDIC Crew,0.0,0.0
2025,5,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Flutie and the Blowfish,0.0,0.0
2025,5,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Just-End-The-Season,0.0,0.0
2025,6,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,ManningHam N' Cheese,0.0,0.0
2025,6,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Dr. Fields Good,0.0,0.0
2025,6,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Flutie and the Blowfish,0.0,0.0
2025,6,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Shambles,0.0,0.0
2025,6,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Boom Squad,0.0,0.0
2025,6,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Ottoman Empire,0.0,0.0
2025,6,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Nacua Matata,0.0,0.0
2025,6,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Koo and the Gang,0.0,0.0
2025,6,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Just-End-The-Season,0.0,0.0
2025,6,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,FDIC Crew,0.0,0.0
2025,6,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Hayes Brigade,0.0,0.0
2025,6,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,The Warren Brothers,0.0,0.0
2025,7,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Boom Squad,0.0,0.0
2025,7,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Dr. Fields Good,0.0,0.0
2025,7,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,FDIC Crew,0.0,0.0
2025,7,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Shambles,0.0,0.0
2025,7,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Nacua Matata,0.0,0.0
2025,7,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Ottoman Empire,0.0,0.0
2025,7,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Flutie and the Blowfish,0.0,0.0
2025,7,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Koo and the Gang,0.0,0.0
2025,7,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,ManningHam N' Cheese,0.0,0.0
2025,7,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,The Warren Brothers,0.0,0.0
2025,7,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Hayes Brigade,0.0,0.0
