season,week,team,manager,felo_tier,logo_url,opponent,points_for,points_against
2025,7,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Just-End-The-Season,0.0,0.0
2025,8,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Nacua Matata,0.0,0.0
2025,8,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Dr. Fields Good,0.0,0.0
2025,8,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Hayes Brigade,0.0,0.0
2025,8,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Shambles,0.0,0.0
2025,8,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Flutie and the Blowfish,0.0,0.0
2025,8,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Ottoman Empire,0.0,0.0
2025,8,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,FDIC Crew,0.0,0.0
2025,8,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Koo and the Gang,0.0,0.0
2025,8,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Just-End-The-Season,0.0,0.0
2025,8,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,The Warren Brothers,0.0,0.0
2025,8,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,ManningHam N' Cheese,0.0,0.0
2025,8,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Boom Squad,0.0,0.0
2025,9,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Flutie and the Blowfish,0.0,0.0
2025,9,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Dr. Fields Good,0.0,0.0
2025,9,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Just-End-The-Season,0.0,0.0
2025,9,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Shambles,0.0,0.0
2025,9,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,FDIC Crew,0.0,0.0
2025,9,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Ottoman Empire,0.0,0.0
2025,9,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Hayes Brigade,0.0,0.0
2025,9,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Koo and the Gang,0.0,0.0
2025,9,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Boom Squad,0.0,0.0
2025,9,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,The Warren Brothers,0.0,0.0
2025,9,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Nacua Matata,0.0,0.0
2025,9,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,ManningHam N' Cheese,0.0,0.0
2025,10,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,FDIC Crew,0.0,0.0
2025,10,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Dr. Fields Good,0.0,0.0
2025,10,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,The Warren Brothers,0.0,0.0
2025,10,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Shambles,0.0,0.0
2025,10,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Hayes Brigade,0.0,0.0
2025,10,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Ottoman Empire,0.0,0.0
2025,10,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Just-End-The-Season,0.0,0.0
2025,10,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Koo and the Gang,0.0,0.0
2025,10,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Nacua Matata,0.0,0.0
2025,10,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Boom Squad,0.0,0.0
2025,10,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Flutie and the Blowfish,0.0,0.0
2025,10,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,ManningHam N' Cheese,0.0,0.0
2025,11,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Hayes Brigade,0.0,0.0
2025,11,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Dr. Fields Good,0.0,0.0
2025,11,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Koo and the Gang,0.0,0.0
2025,11,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Shambles,0.0,0.0
2025,11,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Just-End-The-Season,0.0,0.0
2025,11,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Ottoman Empire,0.0,0.0
2025,11,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,ManningHam N' Cheese,0.0,0.0
2025,11,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,FDIC Crew,0.0,0.0
2025,11,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Nacua Matata,0.0,0.0
2025,11,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,The Warren Brothers,0.0,0.0
2025,11,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Flutie and the Blowfish,0.0,0.0
2025,11,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Boom Squad,0.0,0.0
2025,12,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Just-End-The-Season,0.0,0.0
2025,12,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Dr. Fields Good,0.0,0.0
2025,12,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Ottoman Empire,0.0,0.0
2025,12,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Shambles,0.0,0.0
2025,12,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,The Warren Brothers,0.0,0.0
2025,12,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Koo and the Gang,0.0,0.0
2025,12,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Boom Squad,0.0,0.0
2025,12,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,FDIC Crew,0.0,0.0
2025,12,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Hayes Brigade,0.0,0.0
2025,12,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,ManningHam N' Cheese,0.0,0.0
2025,12,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Flutie and the Blowfish,0.0,0.0
2025,12,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,Nacua Matata,0.0,0.0
2025,13,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Shambles,0.0,0.0
2025,13,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,Dr. Fields Good,0.0,0.0
2025,13,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,Koo and the Gang,0.0,0.0
2025,13,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Ottoman Empire,0.0,0.0
2025,13,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Nacua Matata,0.0,0.0
2025,13,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,FDIC Crew,0.0,0.0
2025,13,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Flutie and the Blowfish,0.0,0.0
2025,13,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,The Warren Brothers,0.0,0.0
2025,13,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,ManningHam N' Cheese,0.0,0.0
2025,13,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Just-End-The-Season,0.0,0.0
2025,13,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Hayes Brigade,0.0,0.0
2025,13,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Boom Squad,0.0,0.0
2025,14,Dr. Fields Good,Lee,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/2a95e7f171da9407fc3eb2f703f960407bfdf7ca4739b334624a160dc53b0418.png,Koo and the Gang,0.0,0.0
2025,14,Koo and the Gang,Kenneth Smith,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_9.png,Dr. Fields Good,0.0,0.0
2025,14,Shambles,Chris D,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43442306924_f00113.jpg,ManningHam N' Cheese,0.0,0.0
2025,14,ManningHam N' Cheese,Kevinchie,gold,https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_k.png,Shambles,0.0,0.0
2025,14,Ottoman Empire,peterO,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/3cbd811242f77a48a5925a0c93b2ba5473021507d1455bb6d35b7788dcaae08a.png,The Warren Brothers,0.0,0.0
2025,14,The Warren Brothers,Edward Shively,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/38b72730b2ef3b5ebabe983498f932c4fc0b9d5af68d06137f5442a22d6e2e0d.jpg,Ottoman Empire,0.0,0.0
2025,14,FDIC Crew,tony,gold,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/da1d5331f6fc65187f86f6a1c2c301fc0b950739f4ab9fd1ca4c613213a12d3f.png,Flutie and the Blowfish,0.0,0.0
2025,14,Flutie and the Blowfish,Brian,platinum,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/69c1b57f6f141eb28ca227f475d1bd836d70cf42100f4bd125f52c90bce76e5a.png,FDIC Crew,0.0,0.0
2025,14,Just-End-The-Season,mlapone,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/36369298610_b52464.jpg,Boom Squad,0.0,0.0
2025,14,Boom Squad,JEff,silver,https://s.yimg.com/cv/apiv2/default/nfl/nfl_1.png,Just-End-The-Season,0.0,0.0
2025,14,Nacua Matata,Joshua,bronze,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/53508e6ea2f02683db4351e9edcfe5eabe56676abec9ece01e04f6a9f4418b85.jpg,Hayes Brigade,0.0,0.0
2025,14,Hayes Brigade,Christopher,bronze,https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png,Nacua Matata,0.0,0.0
